Paises,Frutas,Animales
México,Albaricoque,Calamar
Colombia,Arándano,Pez león
Argentina ,Breva,Ballena franca
Perú ,Cereza,Anguila eléctrica
Canadá,Ciruela,Pepino de mar
Francia,Endrina,Sardinas
España,Frambuesa,Manatí
Italia,Fresa,Pulpo
Alemania,Granada,Pez arquero
India,Grosella,Pez sapo peludo
Japón ,Higo,Arenques
China ,Lima,Carpas
Argelia,Limón,Tetra cavernícola
Irlanda,Mandarina,Langosta
Islandia,Manzana,Atún
Israel,Melocotón,Almeja
Egipto,Melón,Tortuga
,Membrillo,Piraña
,Mora,Boca de fuego
,Naranja,Bacalao
,Níspero,Caballito de mar
,Pera,Estrella de mar
,Piña,Pez oso
,Plátano,Foca
,Pomelo,León Marino
,Sandía,Ancistrus común
,Uva,Medusa
,Aguacate,Sepia
,Alquejenje,Gamba
,Caqui,Trucha común
,Carambola,Pulpo de anillos azules
,Chirimoya,Pez cola de espada
,Coco,Pez luna
,Guayaba,Cíclido cebra
,Kiwano,Pez espada
,Kiwi,Pez globo
,Kumquat,Carpa dorada
,Litchi,Cerdo marino
,Mango,Coral
,Mangostan,Mojarrita
,Maracuyá,Marsopa
,Papaya,Tintorera
,Pitahaya,Nécora
,Rambután,Mejillón
,Tamarillo,Orca
,,Erizo de mar
,,Delfín
,,Cachalote
,,Ballena azul
,,Ballena gris
,,Tiburón ballena
,,Calderón común
,,Cíclico nacarado
,,Tetra de Aleta Sangrante
,,Caracol de mar
,,Tiburón blanco
,,Dragón de mar
,,Tortuga marina
,,Pez mariposa
,,Pez loro
,,Salmón
,,Rodaballo
,,Pez óscar
,,Pez volador
,,Pingüino
,,Acara azul
,,Salmones
,,Pez telescopio
,,Surubí
,,Camello
,,Liebre
,,Gato
,,Oveja
,,Búfalo
,,Alce
,,Dromedario
,,Araña
,,Orangután
,,Avestruz
,,Serpiente
,,Cocodrilo
,,Gallo
,,Pingüino
,,Vaca
,,Rana
,,Conejo
,,Becerro
,,Armadillo
,,Camaleón
,,Koala
,,Burro
,,Mono
,,Lobo
,,Pantera
,,Perro
,,Cerdo
,,Gusano
,,Escorpión
,,Venado
,,Rinoceronte
,,Rata
,,Leopardo
,,Ganso
,,Tigre
,,Ñandú
,,Cabra
,,Víbora
,,Canguro
,,Asno
,,Alacrán
,,Caimán
,,Tortuga
,,Ardilla
,,Jirafa
,,Chango
,,Topo
,,Gallina
,,Tarántula
,,Iguana
,,Mapache
,,Elefante
,,Oso Polar
,,Mula
,,Chita
,,Gorila
,,Ratón
,,Anaconda
,,Caballo
,,Jaguar
,,Castor
,,Hámster
,,Lagartija
,,Mandril
,,Oso
,,Viuda
,,Hormiga
,,León
,,Toro
